first_name,second_name,goals_scored,assists,minutes,goals_conceded,creativity,influence,threat,ict_index,clean_sheets,red_cards,yellow_cards,now_cost
Ryan,Fredericks,0,3,2235,39,333.7,491.2,76.0,90.5,7,0,7,44
Issa,Diop,3,1,2765,54,64.3,610.0,210.0,88.7,4,0,8,43
Fabián,Balbuena,1,0,1176,24,18.5,268.0,149.0,43.6,3,0,2,43
Winston,Reid,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Ben,Johnson,0,0,270,3,25.2,48.0,1.0,7.4,0,0,0,40
Marko,Arnautovic,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,70
Javier,Hernández Balcázar,1,0,106,4,2.2,35.6,39.0,7.7,0,0,0,60
Alexandre Nascimento,Costa Silva,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Lukasz,Fabianski,0,0,2117,34,0.0,531.2,0.0,53.2,5,0,1,49
Michail,Antonio,10,4,1767,30,377.4,552.8,1094.0,201.7,3,0,3,71
Felipe Anderson,Pereira Gomes,1,4,1493,27,414.7,377.2,355.0,114.8,7,0,1,66
Manuel,Lanzini,0,3,1370,30,464.8,219.0,281.0,96.5,2,0,1,61
Andriy,Yarmolenko,5,1,981,17,265.7,284.4,329.0,87.9,3,0,2,52
Robert,Snodgrass,5,5,1504,33,552.1,422.2,320.0,129.7,3,0,4,50
Jack,Wilshere,0,0,209,5,7.0,6.4,4.0,1.5,0,0,0,46
Declan,Rice,1,5,3420,62,350.8,715.8,259.0,132.5,7,0,6,47
Mark,Noble,4,4,2675,44,602.2,542.2,164.0,131.1,7,0,5,49
Carlos,Sánchez,0,0,112,2,3.7,8.4,0.0,1.1,0,0,0,43
Grady,Diangana,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,43
Pablo,Fornals,2,6,2167,35,359.7,350.4,381.0,109.2,6,0,3,60
Pedro,Obiang,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Roberto,Jimenez Gago,0,0,686,17,0.0,239.0,0.0,23.9,0,0,0,44
Sébastien,Haller,7,3,2259,41,354.5,450.4,1012.0,180.9,5,0,1,68
Albian,Ajeti,0,0,132,3,22.9,5.2,47.0,7.3,0,0,0,56
David,Martin,0,0,435,6,0.0,112.0,0.0,11.2,2,0,1,39
Nathan,Holland,0,0,31,1,3.8,12.6,9.0,2.5,0,0,0,44
Joseph,Anang,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Jeremy,Ngakia,0,0,440,8,10.7,78.0,9.0,9.8,0,0,0,40
Gonçalo Bento,Soares Cardoso,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Bernardo,Costa Da Rosa,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Darren,Randolph,0,0,180,5,0.0,49.6,0.0,4.9,0,0,0,39
Tomas,Soucek,3,0,1039,18,73.1,254.2,293.0,62.1,1,0,0,48
Jarrod,Bowen,1,4,916,13,235.0,221.4,342.0,79.8,1,0,0,64
Alfie,Lewis,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Conor,Coventry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Matt,Doherty,4,8,2836,31,340.5,576.2,681.0,160.0,12,0,1,65
Jonathan,Castro Otto,2,3,2885,35,379.2,543.6,299.0,122.4,11,0,4,55
Conor,Coady,0,0,3420,40,68.8,556.4,0.0,62.4,13,0,5,51
Willy,Boly,0,1,1980,15,85.8,477.0,119.0,68.4,12,1,1,49
Rúben Gonçalo,Silva Nascimento Vinagre,0,0,644,6,96.2,130.4,56.0,28.1,3,0,1,41
Romain,Saïss,2,2,2703,34,160.7,621.2,298.0,108.1,10,1,10,47
Max,Kilman,0,0,184,2,1.2,35.2,0.0,3.7,0,0,0,39
Raúl,Jiménez,17,7,3241,36,668.2,911.6,1680.0,325.4,15,0,3,80
Diogo,Jota,7,3,2278,28,453.3,457.8,1139.0,204.9,10,0,4,60
Rui Pedro,dos Santos Patrício,0,0,3420,40,0.0,741.0,0.0,74.3,13,0,0,53
John,Ruddy,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,42
Will,Norris,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Rúben Diogo,da Silva Neves,2,2,3053,35,445.4,538.6,307.0,129.1,13,0,9,52
João Filipe Iria,Santos Moutinho,1,7,3105,36,1200.1,712.0,122.0,204.0,11,0,7,53
Morgan,Gibbs-White,0,1,125,2,44.1,6.6,12.0,6.3,0,0,0,47
Adama,Traoré,4,9,2599,33,786.4,727.2,583.0,209.7,7,0,1,56
Hélder,Costa,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,48
Ivan,Cavaleiro,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,49
Leander,Dendoncker,4,0,2790,34,160.6,529.2,282.0,96.8,11,0,5,44
Jesús,Vallejo Lázaro,0,0,162,6,7.0,35.6,0.0,4.3,0,0,1,46
Patrick,Cutrone,2,0,292,6,35.6,85.2,155.0,27.5,1,0,0,54
Pedro,Lomba Neto,3,3,920,12,232.0,227.8,260.0,71.8,1,0,3,49
Bernard,Ashley-Seal,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Taylor,Perry,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Owen,Otasowie,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Luke,Cundle,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
Oskar,Buur,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40
Ryan,Giles,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,39
Bruno André,Cavaco Jordao,0,0,6,0,10.4,2.6,0.0,1.3,0,0,0,45
Daniel,Castelo Podence,1,1,285,0,73.3,62.4,148.0,28.4,3,0,0,49
Leonardo,Campana,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45
